time_stamp, lat, lon, pitch, roll, heading, serial_number, cam_position
1.642760122985003471e+09,4.572558344125588548e+01,5.088526466712951724e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648243489933013848e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760123184638262e+09,4.572556012553611993e+01,5.088529282375375828e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.485046531319616747e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760123185008526e+09,4.572556008233864588e+01,5.088529287620782604e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648505264067649705e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760123384642601e+09,4.572553679169654828e+01,5.088532115770180830e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.488346602916718098e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760123385012627e+09,4.572553674852689198e+01,5.088532121012210752e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648835270833968707e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760123584647417e+09,4.572551345780134113e+01,5.088534949171742205e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.491646682381630740e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760123585017204e+09,4.572551341465949548e+01,5.088534954410394384e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649165278387069975e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760123784651756e+09,4.572549012396176238e+01,5.088537782566547207e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.494946753978729248e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760123785022020e+09,4.572549008076429544e+01,5.088537787811954871e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649495286333560671e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760123984656334e+09,4.572546679009437298e+01,5.088540615964730840e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.498246829509736244e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760123985026360e+09,4.572546674692471669e+01,5.088540621206760761e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649825293493270806e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760124184660912e+09,4.572544345622698359e+01,5.088543449362913584e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.501546905040740398e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760124185030937e+09,4.572544341305732729e+01,5.088543454604943506e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.650155301046371505e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760124384666204e+09,4.572542012227614805e+01,5.088546282771230445e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.504846992373467174e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760124385035992e+09,4.572542007913430950e+01,5.088546288009882623e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.650485309386253334e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760124584670782e+09,4.572539678840875865e+01,5.088549116169413189e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.508147067904471328e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760124585040569e+09,4.572539674526691300e+01,5.088549121408065368e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.650815316939354034e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760124784674883e+09,4.572537345459699765e+01,5.088551949560841337e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.511447135567664191e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760124785045624e+09,4.572537341134389521e+01,5.088551954813003597e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.651145325279235863e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760124984679937e+09,4.572535012067397986e+01,5.088554782965779566e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.514747218966485320e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760124985050201e+09,4.572535007747650582e+01,5.088554788211187230e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.651475332832336562e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760125184684277e+09,4.572532678683440110e+01,5.088557770264149127e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.508720734596252555e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760125185054541e+09,4.572532674363692706e+01,5.088557775818109974e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.650870814561843645e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760125384689331e+09,4.572530345291137621e+01,5.088560770339966233e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.501920562744140852e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760125385059357e+09,4.572530340974171992e+01,5.088560775890350385e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.650190798187255723e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760125584693670e+09,4.572528011907180456e+01,5.088563770405054143e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.495120415210723763e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760125585063696e+09,4.572528007590214827e+01,5.088563775955438295e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649510783433914298e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760125784698009e+09,4.572525678523222581e+01,5.088566770470142053e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.488320267677306674e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760125785068035e+09,4.572525674206256951e+01,5.088566776020527094e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648830768680572874e+02,2.101994900000000000e+07,4.000000000000000000e+00
